recip_state,fips,time,counts_spatial,counts_opt_model,cdc_reported,state_totals
AL,01001,1,1,416,0,75
AL,01001,2,320,686,440,57984
AL,01001,3,1702,1122,1888,298465
AL,01001,4,3786,1818,4880,635996
AL,01001,5,6839,2893,9188,1088214
AL,01001,6,8947,4487,11361,1322453
AL,01001,7,10814,6703,12960,1487588
AL,01001,8,12150,9528,13775,1565096
AL,01001,9,14713,12754,15947,1765294
AL,01001,10,18709,16009,18868,2090806
AL,01001,11,20790,18905,19990,2197549
AL,01001,12,22369,21207,20696,2266861
AL,01001,13,23818,22880,21528,2340996
AL,01001,14,25196,24017,23740,2426408
AL,01001,15,25923,24756,24265,2463862
AL,01001,16,26364,25221,24519,2484952
AL,01001,17,26720,25509,24729,2506023
AL,01001,18,26956,25685,24888,2520369
AL,01003,1,2,2982,0,75
AL,01003,2,2350,5043,2603,57984
AL,01003,3,12765,8414,14674,298465
AL,01003,4,28620,13742,29940,635996
AL,01003,5,51354,21721,45881,1088214
AL,01003,6,65332,32751,54642,1322453
AL,01003,7,74897,46424,63065,1487588
AL,01003,8,78133,61257,66443,1565096
AL,01003,9,86747,75191,79462,1765294
AL,01003,10,101239,86620,94859,2090806
AL,01003,11,104474,94995,99595,2197549
AL,01003,12,106161,100639,103036,2266861
AL,01003,13,108504,104230,106395,2340996
AL,01003,14,111660,106434,110541,2426408
AL,01003,15,112840,107755,111871,2463862
AL,01003,16,113448,108536,112747,2484952
AL,01003,17,114181,108995,113837,2506023
AL,01003,18,114680,109262,114586,2520369
AL,01005,1,1,503,0,75
AL,01005,2,371,795,110,57984
AL,01005,3,1881,1240,965,298465
AL,01005,4,3940,1892,2494,635996
AL,01005,5,6619,2800,3925,1088214
AL,01005,6,7929,3975,4453,1322453
AL,01005,7,8652,5363,5625,1487588
AL,01005,8,8715,6833,6389,1565096
AL,01005,9,9484,8221,7164,1765294
AL,01005,10,10985,9399,8741,2090806
AL,01005,11,11337,10309,9527,2197549
AL,01005,12,11564,10963,10081,2266861
AL,01005,13,11877,11409,10375,2340996
AL,01005,14,12276,11702,10793,2426408
AL,01005,15,12452,11891,11021,2463862
AL,01005,16,12553,12010,11131,2484952
AL,01005,17,12660,12085,11208,2506023
AL,01005,18,12732,12131,11292,2520369
AL,01007,1,1,404,0,75
AL,01007,2,299,640,188,57984
AL,01007,3,1512,997,1293,298465
AL,01007,4,3159,1517,2124,635996
AL,01007,5,5272,2230,3121,1088214
AL,01007,6,6255,3136,3692,1322453
AL,01007,7,6691,4177,4565,1487588
AL,01007,8,6691,5246,4874,1565096
AL,01007,9,7181,6225,5626,1765294
AL,01007,10,8216,7030,6624,2090806
AL,01007,11,8398,7636,6945,2197549
AL,01007,12,8504,8062,7153,2266861
AL,01007,13,8691,8349,7348,2340996
AL,01007,14,8954,8535,7571,2426408
AL,01007,15,9061,8653,7688,2463862
AL,01007,16,9122,8727,7756,2484952
AL,01007,17,9191,8774,7786,2506023
AL,01007,18,9238,8802,7819,2520369
AL,01009,1,1,592,0,75
AL,01009,2,442,948,452,57984
AL,01009,3,2280,1503,2419,298465
AL,01009,4,4879,2343,4203,635996
AL,01009,5,8435,3568,6846,1088214
AL,01009,6,10470,5249,8540,1322453
AL,01009,7,11913,7384,9736,1487588
AL,01009,8,12548,9838,10262,1565096
AL,01009,9,14256,12357,11789,1765294
AL,01009,10,17134,14660,15121,2090806
AL,01009,11,18202,16551,16234,2197549
AL,01009,12,18959,17973,16703,2266861
AL,01009,13,19751,18973,17127,2340996
AL,01009,14,20608,19644,17821,2426408
AL,01009,15,21026,20079,18091,2463862
AL,01009,16,21276,20355,18244,2484952
AL,01009,17,21506,20529,18360,2506023
AL,01009,18,21660,20637,18461,2520369
AL,01011,1,1,107,0,75
AL,01011,2,83,178,193,57984
AL,01011,3,444,293,416,298465
AL,01011,4,997,479,1220,635996
AL,01011,5,1810,766,2309,1088214
AL,01011,6,2371,1189,2653,1322453
AL,01011,7,2850,1767,2899,1487588
AL,01011,8,3171,2486,3108,1565096
AL,01011,9,3779,3276,3448,1765294
AL,01011,10,4717,4036,4323,2090806
AL,01011,11,5149,4682,4547,2197549
AL,01011,12,5455,5172,4649,2266861
AL,01011,13,5741,5515,4826,2340996
AL,01011,14,6022,5741,5150,2426408
AL,01011,15,6161,5884,5280,2463862
AL,01011,16,6242,5972,5370,2484952
AL,01011,17,6312,6026,5405,2506023
AL,01011,18,6358,6058,5455,2520369
AL,01013,1,1,428,0,75
AL,01013,2,318,682,74,57984
AL,01013,3,1617,1066,787,298465
AL,01013,4,3382,1624,1887,635996
AL,01013,5,5636,2384,3604,1088214
AL,01013,6,6648,3333,4130,1322453
AL,01013,7,6967,4399,4504,1487588
AL,01013,8,6967,5463,4768,1565096
AL,01013,9,7390,6406,5331,1765294
AL,01013,10,8367,7159,6511,2090806
AL,01013,11,8479,7710,6865,2197549
AL,01013,12,8534,8090,7015,2266861
AL,01013,13,8682,8340,7238,2340996
AL,01013,14,8916,8499,7458,2426408
AL,01013,15,9005,8600,7578,2463862
AL,01013,16,9054,8662,7642,2484952
AL,01013,17,9114,8700,7684,2506023
AL,01013,18,9156,8724,7723,2520369
AL,01015,1,1,2607,0,75
AL,01015,2,1836,3940,1134,57984
AL,01015,3,8913,5875,6408,298465
AL,01015,4,17900,8595,12729,635996
AL,01015,5,28960,12249,20705,1088214
AL,01015,6,33650,16869,25390,1322453
AL,01015,7,35841,22286,28563,1487588
AL,01015,8,35841,28100,29989,1565096
AL,01015,9,38969,33778,34307,1765294
AL,01015,10,45388,38834,44597,2090806
AL,01015,11,47268,42979,47127,2197549
AL,01015,12,48685,46153,49306,2266861
AL,01015,13,50446,48459,51175,2340996
AL,01015,14,52530,50071,51933,2426408
AL,01015,15,53582,51167,52587,2463862
AL,01015,16,54249,51900,53036,2484952
AL,01015,17,54875,52383,53417,2506023
AL,01015,18,55312,52699,53668,2520369
AL,01017,1,1,477,0,75
AL,01017,2,379,812,281,57984
AL,01017,3,2061,1359,1402,298465
AL,01017,4,4608,2213,3155,635996
AL,01017,5,8173,3457,4951,1088214
AL,01017,6,10175,5101,5944,1322453
AL,01017,7,11308,7009,6415,1487588
AL,01017,8,11379,8921,6745,1565096
AL,01017,9,12198,10573,7712,1765294
AL,01017,10,13824,11828,8850,2090806
AL,01017,11,13957,12691,9333,2197549
AL,01017,12,13972,13245,9582,2266861
AL,01017,13,14141,13584,9829,2340996
AL,01017,14,14463,13786,10096,2426408
AL,01017,15,14561,13905,10285,2463862
AL,01017,16,14606,13974,10405,2484952
AL,01017,17,14681,14014,10477,2506023
AL,01017,18,14733,14037,10529,2520369
AL,01019,1,1,353,0,75
AL,01019,2,275,590,191,57984
AL,01019,3,1470,969,1454,298465
AL,01019,4,3224,1548,3004,635996
AL,01019,5,5612,2374,4019,1088214
AL,01019,6,6872,3445,4750,1322453
AL,01019,7,7520,4672,5151,1487588
AL,01019,8,7520,5896,5324,1565096
AL,01019,9,8026,6957,5803,1765294
AL,01019,10,9083,7772,7112,2090806
AL,01019,11,9173,8341,7532,2197549
AL,01019,12,9191,8713,7748,2266861
AL,01019,13,9311,8945,7890,2340996
AL,01019,14,9532,9086,7854,2426408
AL,01019,15,9602,9170,7940,2463862
AL,01019,16,9637,9220,7992,2484952
AL,01019,17,9689,9249,8054,2506023
AL,01019,18,9725,9266,8096,2520369
AL,01021,1,1,1239,0,75
AL,01021,2,861,1847,172,57984
AL,01021,3,4099,2702,943,298465
AL,01021,4,8020,3851,3298,635996
AL,01021,5,12537,5303,5577,1088214
AL,01021,6,13543,7006,7558,1322453
AL,01021,7,13543,8833,8906,1487588
AL,01021,8,13543,10618,9471,1565096
AL,01021,9,14083,12207,11176,1765294
AL,01021,10,15789,13509,13232,2090806
AL,01021,11,15953,14506,14006,2197549
AL,01021,12,16065,15230,14796,2266861
AL,01021,13,16381,15736,15257,2340996
AL,01021,14,16870,16081,15712,2426408
AL,01021,15,17081,16311,15952,2463862
AL,01021,16,17207,16462,16079,2484952
AL,01021,17,17350,16562,16172,2506023
AL,01021,18,17450,16626,16227,2520369
AL,01023,1,1,356,0,75
AL,01023,2,261,560,97,57984
AL,01023,3,1312,865,1022,298465
AL,01023,4,2717,1305,2196,635996
AL,01023,5,4499,1903,3466,1088214
AL,01023,6,5296,2655,4113,1322453
AL,01023,7,5594,3512,4650,1487588
AL,01023,8,5594,4386,4910,1565096
AL,01023,9,5980,5184,5684,1765294
AL,01023,10,6825,5840,6961,2090806
AL,01023,11,6968,6336,7364,2197549
AL,01023,12,7054,6687,7639,2266861
AL,01023,13,7206,6923,7876,2340996
AL,01023,14,7425,7078,8079,2426408
AL,01023,15,7515,7177,8226,2463862
AL,01023,16,7567,7240,8286,2484952
AL,01023,17,7625,7279,8357,2506023
AL,01023,18,7666,7304,8401,2520369
AL,01025,1,1,564,0,75
AL,01025,2,413,885,107,57984
AL,01025,3,2074,1367,1516,298465
AL,01025,4,4300,2065,3691,635996
AL,01025,5,7142,3021,5241,1088214
AL,01025,6,8444,4233,5936,1322453
AL,01025,7,9042,5635,6457,1487588
AL,01025,8,9042,7089,6801,1565096
AL,01025,9,9733,8437,8181,1765294
AL,01025,10,11179,9565,10425,2090806
AL,01025,11,11468,10428,10898,2197549
AL,01025,12,11652,11046,11171,2266861
AL,01025,13,11936,11466,11496,2340996
AL,01025,14,12319,11743,11796,2426408
AL,01025,15,12484,11922,11951,2463862
AL,01025,16,12579,12035,12030,2484952
AL,01025,17,12682,12106,12097,2506023
AL,01025,18,12753,12151,12127,2520369
AL,01027,1,1,377,0,75
AL,01027,2,281,602,0,57984
AL,01027,3,1420,936,658,298465
AL,01027,4,2922,1403,1499,635996
AL,01027,5,4733,2002,2542,1088214
AL,01027,6,5116,2690,2978,1322453
AL,01027,7,5116,3388,3290,1487588
AL,01027,8,5116,4011,3488,1565096
AL,01027,9,5200,4508,3829,1765294
AL,01027,10,5563,4869,4716,2090806
AL,01027,11,5563,5115,5026,2197549
AL,01027,12,5563,5274,5250,2266861
AL,01027,13,5594,5374,5408,2340996
AL,01027,14,5703,5436,5405,2426408
AL,01027,15,5732,5474,5458,2463862
AL,01027,16,5745,5497,5491,2484952
AL,01027,17,5773,5511,5531,2506023
AL,01027,18,5792,5519,5575,2520369
AL,01029,1,1,461,0,75
AL,01029,2,340,729,269,57984
AL,01029,3,1690,1114,907,298465
AL,01029,4,3382,1624,1525,635996
AL,01029,5,4952,2231,2379,1088214
AL,01029,6,4952,2869,2740,1322453
AL,01029,7,4952,3458,2949,1487588
AL,01029,8,4952,3938,3045,1565096
AL,01029,9,4952,4293,3333,1765294
AL,01029,10,5054,4536,3935,2090806
AL,01029,11,5054,4694,4206,2197549
AL,01029,12,5054,4794,4355,2266861
AL,01029,13,5054,4855,4484,2340996
AL,01029,14,5132,4892,4179,2426408
AL,01029,15,5146,4914,4235,2463862
AL,01029,16,5151,4928,4274,2484952
AL,01029,17,5170,4936,4296,2506023
AL,01029,18,5186,4941,4320,2520369
AL,01031,1,1,1383,0,75
AL,01031,2,977,2096,258,57984
AL,01031,3,4744,3127,2088,298465
AL,01031,4,9499,4561,5425,635996
AL,01031,5,15256,6453,8852,1088214
AL,01031,6,17516,8781,10207,1322453
AL,01031,7,18009,11413,11754,1487588
AL,01031,8,18009,14119,12488,1565096
AL,01031,9,19198,16641,14559,1765294
AL,01031,10,21956,18786,17144,2090806
AL,01031,11,22516,20473,18272,2197549
AL,01031,12,22912,21720,19073,2266861
AL,01031,13,23527,22600,19883,2340996
AL,01031,14,24340,23201,23964,2426408
AL,01031,15,24716,23602,24421,2463862
AL,01031,16,24946,23866,24608,2484952
AL,01031,17,25181,24037,24799,2506023
AL,01031,18,25345,24148,24959,2520369
AL,01033,1,1,421,0,75
AL,01033,2,340,728,936,57984
AL,01033,3,1896,1250,4342,298465
AL,01033,4,4402,2114,7613,635996
AL,01033,5,8263,3495,12980,1088214
AL,01033,6,11121,5575,15488,1322453
AL,01033,7,13626,8446,16963,1487588
AL,01033,8,15260,11964,17665,1565096
AL,01033,9,18114,15701,19744,1765294
AL,01033,10,22334,19109,23097,2090806
AL,01033,11,23991,21814,24059,2197549
AL,01033,12,25035,23733,24643,2266861
AL,01033,13,26013,24989,25281,2340996
AL,01033,14,27032,25767,25905,2426408
AL,01033,15,27472,26234,26288,2463862
AL,01033,16,27709,26509,26446,2484952
AL,01033,17,27937,26668,26584,2506023
AL,01033,18,28087,26760,26688,2520369
AL,01035,1,1,258,0,75
AL,01035,2,189,405,35,57984
AL,01035,3,954,629,754,298465
AL,01035,4,1984,953,1689,635996
AL,01035,5,3309,1400,2548,1088214
AL,01035,6,3931,1971,2854,1322453
AL,01035,7,4252,2637,3056,1487588
AL,01035,8,4252,3334,3249,1565096
AL,01035,9,4597,3985,3718,1765294
AL,01035,10,5296,4532,4307,2090806
AL,01035,11,5447,4953,4579,2197549
AL,01035,12,5542,5254,4698,2266861
AL,01035,13,5684,5460,4866,2340996
AL,01035,14,5870,5596,5121,2426408
AL,01035,15,5951,5683,5207,2463862
AL,01035,16,5997,5738,5250,2484952
AL,01035,17,6047,5773,5276,2506023
AL,01035,18,6082,5795,5302,2520369
AL,01037,1,1,214,0,75
AL,01037,2,163,349,67,57984
AL,01037,3,848,559,671,298465
AL,01037,4,1811,870,1375,635996
AL,01037,5,3073,1300,2063,1088214
AL,01037,6,3678,1844,2303,1322453
AL,01037,7,3901,2455,2558,1487588
AL,01037,8,3901,3059,2684,1565096
AL,01037,9,4134,3584,2927,1765294
AL,01037,10,4665,3992,3717,2090806
AL,01037,11,4709,4282,3841,2197549
AL,01037,12,4721,4476,3993,2266861
AL,01037,13,4788,4600,4114,2340996
AL,01037,14,4906,4677,4235,2426408
AL,01037,15,4947,4724,4286,2463862
AL,01037,16,4967,4752,4312,2484952
AL,01037,17,4996,4769,4340,2506023
AL,01037,18,5017,4780,4351,2520369
AL,01039,1,1,1492,0,75
AL,01039,2,1022,2193,165,57984
AL,01039,3,4767,3142,1831,298465
AL,01039,4,9063,4352,3646,635996
AL,01039,5,13038,5783,5953,1088214
AL,01039,6,13038,7332,6738,1322453
AL,01039,7,13038,8856,7680,1487588
AL,01039,8,13038,10222,8212,1565096
AL,01039,9,13089,11346,9679,1765294
AL,01039,10,14001,12208,12049,2090806
AL,01039,11,14001,12835,12766,2197549
AL,01039,12,14001,13273,13084,2266861
AL,01039,13,14127,13571,13474,2340996
AL,01039,14,14445,13769,13805,2426408
AL,01039,15,14556,13900,13994,2463862
AL,01039,16,14618,13985,14094,2484952
AL,01039,17,14708,14040,14142,2506023
AL,01039,18,14774,14076,14191,2520369
AL,01041,1,1,306,0,75
AL,01041,2,231,495,66,57984
AL,01041,3,1186,782,626,298465
AL,01041,4,2490,1196,1364,635996
AL,01041,5,4132,1748,2401,1088214
AL,01041,6,4811,2412,2614,1322453
AL,01041,7,4819,3118,2834,1487588
AL,01041,8,4819,3778,2997,1565096
AL,01041,9,4988,4324,3300,1765294
AL,01041,10,5484,4732,4017,2090806
AL,01041,11,5484,5014,4246,2197549
AL,01041,12,5484,5199,4349,2266861
AL,01041,13,5534,5316,4483,2340996
AL,01041,14,5652,5388,4622,2426408
AL,01041,15,5688,5432,4689,2463862
AL,01041,16,5706,5459,4723,2484952
AL,01041,17,5734,5474,4747,2506023
AL,01041,18,5756,5484,4771,2520369
AL,01043,1,2,2782,0,75
AL,01043,2,1981,4252,1403,57984
AL,01043,3,9605,6331,6030,298465
AL,01043,4,18944,9096,10223,635996
AL,01043,5,29515,12484,14531,1088214
AL,01043,6,29759,16246,16779,1322453
AL,01043,7,29759,19989,18435,1487588
AL,01043,8,29759,23331,19211,1565096
AL,01043,9,30038,26036,22026,1765294
AL,01043,10,32111,28058,28006,2090806
AL,01043,11,32111,29482,29301,2197549
AL,01043,12,32111,30441,29908,2266861
AL,01043,13,32344,31070,30589,2340996
AL,01043,14,33020,31474,31354,2426408
AL,01043,15,33228,31731,31717,2463862
AL,01043,16,33335,31892,31928,2484952
AL,01043,17,33515,31993,32049,2506023
AL,01043,18,33647,32057,32163,2520369
AL,01045,1,1,1740,0,75
AL,01045,2,1277,2740,530,57984
AL,01045,3,6369,4198,3581,298465
AL,01045,4,12885,6187,7583,635996
AL,01045,5,20502,8672,11906,1088214
AL,01045,6,21190,11450,14140,1322453
AL,01045,7,21190,14201,15750,1487588
AL,01045,8,21190,16613,16709,1565096
AL,01045,9,21358,18513,18633,1765294
AL,01045,10,22608,19888,21896,2090806
AL,01045,11,22608,20823,23421,2197549
AL,01045,12,22608,21432,24330,2266861
AL,01045,13,22711,21817,25236,2340996
AL,01045,14,23140,22057,22777,2426408
AL,01045,15,23253,22205,23226,2463862
AL,01045,16,23304,22295,23429,2484952
AL,01045,17,23413,22350,23635,2506023
AL,01045,18,23493,22383,23742,2520369
AL,01047,1,1,430,0,75
AL,01047,2,328,703,202,57984
AL,01047,3,1726,1138,1407,298465
AL,01047,4,3788,1819,4668,635996
AL,01047,5,6731,2847,6654,1088214
AL,01047,6,8625,4324,7550,1322453
AL,01047,7,10157,6296,8567,1487588
AL,01047,8,11084,8690,9150,1565096
AL,01047,9,13017,11283,10354,1765294
AL,01047,10,16084,13762,13309,2090806
AL,01047,11,17452,15869,14466,2197549
AL,01047,12,18446,17487,15177,2266861
AL,01047,13,19398,18634,15839,2340996
AL,01047,14,20356,19403,16274,2426408
AL,01047,15,20838,19899,16613,2463862
AL,01047,16,21126,20211,16804,2484952
AL,01047,17,21375,20404,16958,2506023
AL,01047,18,21541,20523,17048,2520369
AL,01049,1,2,2731,0,75
AL,01049,2,1868,4009,396,57984
AL,01049,3,8701,5735,2640,298465
AL,01049,4,16517,7931,5227,635996
AL,01049,5,23651,10524,9166,1088214
AL,01049,6,23651,13325,11848,1322453
AL,01049,7,23651,16079,13332,1487588
AL,01049,8,23651,18543,14082,1565096
AL,01049,9,23732,20571,15852,1765294
AL,01049,10,25370,22127,19868,2090806
AL,01049,11,25370,23259,21533,2197549
AL,01049,12,25371,24051,22139,2266861
AL,01049,13,25597,24589,22902,2340996
AL,01049,14,26173,24948,23493,2426408
AL,01049,15,26372,25184,23872,2463862
AL,01049,16,26486,25339,24126,2484952
AL,01049,17,26648,25439,24316,2506023
AL,01049,18,26768,25504,24452,2520369
AL,01051,1,1,1451,0,75
AL,01051,2,1073,2303,614,57984
AL,01051,3,5474,3608,3281,298465
AL,01051,4,11527,5535,8056,635996
AL,01051,5,19483,8241,14406,1088214
AL,01051,6,23511,11786,18005,1322453
AL,01051,7,25853,16025,20848,1487588
AL,01051,8,26245,20576,22064,1565096
AL,01051,9,28759,24928,25203,1765294
AL,01051,10,33492,28656,29889,2090806
AL,01051,11,34707,31558,31481,2197549
AL,01051,12,35501,33654,33237,2266861
AL,01051,13,36525,35087,34488,2340996
AL,01051,14,37799,36030,36331,2426408
AL,01051,15,38365,36636,36947,2463862
AL,01051,16,38693,37018,37463,2484952
AL,01051,17,39031,37258,37786,2506023
AL,01051,18,39261,37406,38006,2520369
AL,01053,1,1,1034,0,75
AL,01053,2,735,1577,152,57984
AL,01053,3,3577,2358,1984,298465
AL,01053,4,7137,3427,3850,635996
AL,01053,5,11343,4798,5853,1088214
AL,01053,6,12528,6417,7052,1322453
AL,01053,7,12528,8150,7680,1487588
AL,01053,8,12528,9822,8067,1565096
AL,01053,9,13013,11280,9226,1765294
AL,01053,10,14545,12445,11188,2090806
AL,01053,11,14639,13311,11914,2197549
AL,01053,12,14686,13922,12233,2266861
AL,01053,13,14924,14336,12662,2340996
AL,01053,14,15327,14610,12961,2426408
AL,01053,15,15487,14789,13172,2463862
AL,01053,16,15577,14903,13318,2484952
AL,01053,17,15689,14977,13411,2506023
AL,01053,18,15768,15023,13471,2520369
AL,01055,1,1,1811,0,75
AL,01055,2,1344,2883,1089,57984
AL,01055,3,6862,4523,5958,298465
AL,01055,4,14458,6942,10325,635996
AL,01055,5,24408,10324,17507,1088214
AL,01055,6,29353,14715,22030,1322453
AL,01055,7,32103,19899,24381,1487588
AL,01055,8,32363,25373,25516,1565096
AL,01055,9,35203,30514,28530,1765294
AL,01055,10,40716,34837,35451,2090806
AL,01055,11,41955,38148,37736,2197549
AL,01055,12,42727,40505,38953,2266861
AL,01055,13,43825,42099,40086,2340996
AL,01055,14,45256,43138,41008,2426408
AL,01055,15,45867,43800,41493,2463862
AL,01055,16,46217,44216,41821,2484952
AL,01055,17,46591,44475,42039,2506023
AL,01055,18,46847,44634,42254,2520369
AL,01057,1,1,458,0,75
AL,01057,2,334,716,154,57984
AL,01057,3,1658,1093,633,298465
AL,01057,4,3351,1609,1759,635996
AL,01057,5,5343,2260,2658,1088214
AL,01057,6,5645,3001,3074,1322453
AL,01057,7,5645,3751,3355,1487588
AL,01057,8,5645,4426,3505,1565096
AL,01057,9,5736,4972,3925,1765294
AL,01057,10,6162,5376,4828,2090806
AL,01057,11,6162,5656,5079,2197549
AL,01057,12,6162,5842,5244,2266861
AL,01057,13,6206,5962,5401,2340996
AL,01057,14,6333,6037,5571,2426408
AL,01057,15,6371,6084,5632,2463862
AL,01057,16,6389,6113,5687,2484952
AL,01057,17,6422,6131,5713,2506023
AL,01057,18,6446,6142,5727,2520369
AL,01059,1,1,1349,0,75
AL,01059,2,923,1981,507,57984
AL,01059,3,4299,2834,2115,298465
AL,01059,4,8170,3923,4063,635996
AL,01059,5,11765,5211,6389,1088214
AL,01059,6,11765,6608,7458,1322453
AL,01059,7,11765,7986,8027,1487588
AL,01059,8,11765,9224,8310,1565096
AL,01059,9,11822,10247,9623,1765294
AL,01059,10,12669,11034,11761,2090806
AL,01059,11,12669,11608,12321,2197549
AL,01059,12,12669,12010,12661,2266861
AL,01059,13,12787,12284,12996,2340996
AL,01059,14,13079,12467,13347,2426408
AL,01059,15,13182,12588,13536,2463862
AL,01059,16,13240,12667,13632,2484952
AL,01059,17,13323,12718,13743,2506023
AL,01059,18,13384,12752,13804,2520369
AL,01061,1,1,889,0,75
AL,01061,2,597,1281,169,57984
AL,01061,3,2747,1811,1490,298465
AL,01061,4,5204,2499,3040,635996
AL,01061,5,7906,3344,5015,1088214
AL,01061,6,8117,4315,5592,1322453
AL,01061,7,8117,5349,6142,1487588
AL,01061,8,8117,6364,6458,1565096
AL,01061,9,8402,7283,7264,1765294
AL,01061,10,9416,8057,8578,2090806
AL,01061,11,9535,8670,9060,2197549
AL,01061,12,9634,9133,9349,2266861
AL,01061,13,9857,9469,9630,2340996
AL,01061,14,10182,9706,10352,2426408
AL,01061,15,10337,9871,10490,2463862
AL,01061,16,10436,9984,10563,2484952
AL,01061,17,10539,10061,10604,2506023
AL,01061,18,10613,10112,10641,2520369
AL,01063,1,1,70,0,75
AL,01063,2,58,123,0,57984
AL,01063,3,324,214,312,298465
AL,01063,4,766,368,932,635996
AL,01063,5,1458,617,1825,1088214
AL,01063,6,1990,998,2279,1322453
AL,01063,7,2470,1531,2484,1487588
AL,01063,8,2792,2189,2613,1565096
AL,01063,9,3333,2889,2884,1765294
AL,01063,10,4118,3524,3325,2090806
AL,01063,11,4423,4022,3631,2197549
AL,01063,12,4610,4371,3766,2266861
AL,01063,13,4783,4595,3907,2340996
AL,01063,14,4963,4731,3991,2426408
AL,01063,15,5039,4812,4072,2463862
AL,01063,16,5079,4859,4106,2484952
AL,01063,17,5117,4885,4130,2506023
AL,01063,18,5144,4901,4153,2520369
AL,01065,1,1,184,0,75
AL,01065,2,139,298,266,57984
AL,01065,3,726,479,845,298465
AL,01065,4,1584,761,2583,635996
AL,01065,5,2799,1184,4140,1088214
AL,01065,6,3572,1791,4774,1322453
AL,01065,7,4201,2604,5224,1487588
AL,01065,8,4592,3600,5490,1565096
AL,01065,9,5412,4691,6262,1765294
AL,01065,10,6725,5754,7648,2090806
AL,01065,11,7341,6675,8012,2197549
AL,01065,12,7801,7396,8267,2266861
AL,01065,13,8240,7916,8520,2340996
AL,01065,14,8677,8271,8731,2426408
AL,01065,15,8904,8503,8893,2463862
AL,01065,16,9041,8650,8965,2484952
AL,01065,17,9159,8743,9003,2506023
AL,01065,18,9236,8800,9029,2520369
AL,01067,1,1,298,0,75
AL,01067,2,221,473,161,57984
AL,01067,3,1121,739,1043,298465
AL,01067,4,2361,1134,2395,635996
AL,01067,5,3997,1691,3677,1088214
AL,01067,6,4837,2425,4207,1322453
AL,01067,7,5341,3311,4516,1487588
AL,01067,8,5453,4275,4711,1565096
AL,01067,9,6010,5210,5283,1765294
AL,01067,10,7038,6022,6547,2090806
AL,01067,11,7326,6662,6904,2197549
AL,01067,12,7520,7129,7156,2266861
AL,01067,13,7756,7451,7398,2340996
AL,01067,14,8041,7665,7636,2426408
AL,01067,15,8171,7803,7733,2463862
AL,01067,16,8248,7891,7789,2484952
AL,01067,17,8324,7946,7830,2506023
AL,01067,18,8375,7980,7857,2520369
AL,01069,1,1,1777,0,75
AL,01069,2,1331,2855,1321,57984
AL,01069,3,6863,4524,5872,298465
AL,01069,4,14616,7018,14434,635996
AL,01069,5,24957,10556,21991,1088214
AL,01069,6,30361,15220,24710,1322453
AL,01069,7,33570,20808,27502,1487588
AL,01069,8,34168,26788,28786,1565096
AL,01069,9,37448,32459,33063,1765294
AL,01069,10,43540,37253,38507,2090806
AL,01069,11,45012,40928,40460,2197549
AL,01069,12,45928,43539,41945,2266861
AL,01069,13,47153,45296,43332,2340996
AL,01069,14,48715,46435,44530,2426408
AL,01069,15,49381,47156,45192,2463862
AL,01069,16,49760,47605,45558,2484952
AL,01069,17,50158,47882,45841,2506023
AL,01069,18,50435,48053,46116,2520369
AL,01071,1,1,1713,0,75
AL,01071,2,1242,2666,777,57984
AL,01071,3,6141,4048,3802,298465
AL,01071,4,12369,5939,7538,635996
AL,01071,5,19684,8326,11024,1088214
AL,01071,6,20865,11053,13637,1322453
AL,01071,7,20865,13833,14928,1487588
AL,01071,8,20865,16358,15689,1565096
AL,01071,9,21254,18423,17522,1765294
AL,01071,10,22976,19969,21069,2090806
AL,01071,11,22976,21054,22393,2197549
AL,01071,12,22976,21781,23230,2266861
AL,01071,13,23164,22252,23920,2340996
AL,01071,14,23658,22551,24652,2426408
AL,01071,15,23812,22739,25138,2463862
AL,01071,16,23890,22856,25344,2484952
AL,01071,17,24019,22928,25550,2506023
AL,01071,18,24112,22973,25672,2520369
AL,01073,1,3,5886,0,75
AL,01073,2,4754,10205,10722,57984
AL,01073,3,26625,17549,43042,298465
AL,01073,4,61997,29768,90937,635996
AL,01073,5,116739,49377,169900,1088214
AL,01073,6,157775,79093,206767,1322453
AL,01073,7,194296,120432,231976,1487588
AL,01073,8,211518,171581,243407,1565096
AL,01073,9,261233,226432,273570,1765294
AL,01073,10,323661,276925,322005,2090806
AL,01073,11,348937,317278,338004,2197549
AL,01073,12,365024,346038,346502,2266861
AL,01073,13,379865,364903,358820,2340996
AL,01073,14,395106,376614,370344,2426408
AL,01073,15,401742,383637,376582,2463862
AL,01073,16,405311,387761,380462,2484952
AL,01073,17,408716,390153,384149,2506023
AL,01073,18,410945,391530,386737,2520369
AL,01075,1,1,466,0,75
AL,01075,2,333,713,194,57984
AL,01075,3,1614,1064,1050,298465
AL,01075,4,3196,1535,1966,635996
AL,01075,5,5012,2120,2895,1088214
AL,01075,6,5175,2780,3262,1322453
AL,01075,7,5175,3449,3483,1487588
AL,01075,8,5175,4057,3621,1565096
AL,01075,9,5258,4558,4039,1765294
AL,01075,10,5687,4938,5140,2090806
AL,01075,11,5687,5208,5401,2197549
AL,01075,12,5687,5392,5566,2266861
AL,01075,13,5739,5513,5716,2340996
AL,01075,14,5865,5591,5914,2426408
AL,01075,15,5907,5641,5997,2463862
AL,01075,16,5929,5673,6048,2484952
AL,01075,17,5962,5692,6084,2506023
AL,01075,18,5988,5705,6107,2520369
