1350	7
AR	05001	0	3.4862274940553	0	106	0.00579427954897005
AR	05001	2	5.48425387552258	1	6814	0.00579427954897005
AR	05001	7.8	8.41845340120415	2	19080	0.00579427954897005
AR	05001	17.9	12.4787119198819	3	37495	0.00579427954897005
AR	05001	30.1	17.6580785431809	4	86681	0.00579427954897005
AR	05001	33.1	23.6202272192508	5	106475	0.00579427954897005
AR	05001	35.5	29.7236478343728	6	113765	0.00579427954897005
AR	05001	37.4	35.2654420781649	7	118016	0.00579427954897005
AR	05001	44.4	39.7754256697069	8	127707	0.00579427954897005
AR	05001	48.9	43.1298283361615	9	135361	0.00579427954897005
AR	05001	50.6	45.4614352631286	10	140277	0.00579427954897005
AR	05001	51.8	47.0068703954339	11	143722	0.00579427954897005
AR	05001	53	47.99919422495	12	148945	0.00579427954897005
AR	05001	54.3	48.6234312455849	13	152713	0.00579427954897005
AR	05001	55	49.0110649659033	14	154334	0.00579427954897005
AR	05001	55.6	49.2498420388824	15	155229	0.00579427954897005
AR	05001	56	49.3961957783779	16	156335	0.00579427954897005
AR	05001	56.2	49.4856271508896	17	157002	0.00579427954897005
AR	05003	0	3.34682966781948	0	106	0.00651367683255771
AR	05003	1.3	5.25060458878185	1	6814	0.00651367683255771
AR	05003	7	8.03609855354098	2	19080	0.00651367683255771
AR	05003	12.7	11.8749286784554	3	37495	0.00651367683255771
AR	05003	23.3	16.7509890016689	4	86681	0.00651367683255771
AR	05003	28.9	22.341051197822	5	106475	0.00651367683255771
AR	05003	31.6	28.0438623385854	6	113765	0.00651367683255771
AR	05003	33.1	33.2094825204661	7	118016	0.00651367683255771
AR	05003	38.6	37.4083064880718	8	127707	0.00651367683255771
AR	05003	43.3	40.5309882642417	9	135361	0.00651367683255771
AR	05003	45.3	42.7031627013697	10	140277	0.00651367683255771
AR	05003	46.2	44.1448206754677	11	143722	0.00651367683255771
AR	05003	47.5	45.0720441729956	12	148945	0.00651367683255771
AR	05003	48.6	45.6564053614593	13	152713	0.00651367683255771
AR	05003	49.4	46.0199816279565	14	154334	0.00651367683255771
AR	05003	49.8	46.2443841775427	15	155229	0.00651367683255771
AR	05003	50.1	46.3822027325319	16	156335	0.00651367683255771
AR	05003	50.4	46.4665875757311	17	157002	0.00651367683255771
AR	05005	0	1.24627784827817	0	106	0.0138948719002294
AR	05005	2.1	2.24686785485491	1	6814	0.0138948719002294
AR	05005	8.7	3.97867806616747	2	19080	0.0138948719002294
AR	05005	14.3	6.83471010252471	3	37495	0.0138948719002294
AR	05005	26.2	11.1893023530557	4	86681	0.0138948719002294
AR	05005	30.2	17.0938679689357	5	106475	0.0138948719002294
AR	05005	32.3	23.944064436584	6	113765	0.0138948719002294
AR	05005	34.1	30.5901220768451	7	118016	0.0138948719002294
AR	05005	38.8	36.0088257414342	8	127707	0.0138948719002294
AR	05005	41.5	39.8343614671057	9	135361	0.0138948719002294
AR	05005	43.4	42.2689464404824	10	140277	0.0138948719002294
AR	05005	44.2	43.7175277683593	11	143722	0.0138948719002294
AR	05005	45.2	44.5451693174345	12	148945	0.0138948719002294
AR	05005	46	45.0071119522609	13	152713	0.0138948719002294
AR	05005	46.4	45.2615824139087	14	154334	0.0138948719002294
AR	05005	46.7	45.4007504422902	15	155229	0.0138948719002294
AR	05005	47	45.4765588801074	16	156335	0.0138948719002294
AR	05005	47.2	45.517764423968	17	157002	0.0138948719002294
AR	05007	0	0.633410481837945	0	106	0.09249805487699
AR	05007	1.5	1.13636536441751	1	6814	0.09249805487699
AR	05007	5.3	2.02318009453432	2	19080	0.09249805487699
AR	05007	10.8	3.55438895000478	3	37495	0.09249805487699
AR	05007	22.9	6.10495856305558	4	86681	0.09249805487699
AR	05007	29.8	10.1095563135531	5	106475	0.09249805487699
AR	05007	34.2	15.8482296985693	6	113765	0.09249805487699
AR	05007	36.3	23.0806102919712	7	118016	0.09249805487699
AR	05007	40.5	30.8529502000046	8	127707	0.09249805487699
AR	05007	43.9	37.8978265144714	9	135361	0.09249805487699
AR	05007	46.4	43.363671236508	10	140277	0.09249805487699
AR	05007	47.9	47.1147337287449	11	143722	0.09249805487699
AR	05007	50.1	49.4773275407789	12	148945	0.09249805487699
AR	05007	51.9	50.885917214458	13	152713	0.09249805487699
AR	05007	52.7	51.6983919658074	14	154334	0.09249805487699
AR	05007	53	52.1581069495758	15	155229	0.09249805487699
AR	05007	53.6	52.4153982406112	16	156335	0.09249805487699
AR	05007	53.9	52.5585184464913	17	157002	0.09249805487699
AR	05009	0	1.26069372979706	0	106	0.0124037213815079
AR	05009	1.6	2.1498977109657	1	6814	0.0124037213815079
AR	05009	6.9	3.60820414847759	2	19080	0.0124037213815079
AR	05009	12.5	5.90235704593188	3	37495	0.0124037213815079
AR	05009	19	9.28528049927691	4	86681	0.0124037213815079
AR	05009	21.9	13.8260693952947	5	106475	0.0124037213815079
AR	05009	23.8	19.2087958613442	6	113765	0.0124037213815079
AR	05009	25.2	24.7244349273852	7	118016	0.0124037213815079
AR	05009	29.2	29.5936655540784	8	127707	0.0124037213815079
AR	05009	32.1	33.3581139101944	9	135361	0.0124037213815079
AR	05009	33.4	35.9807542105993	10	140277	0.0124037213815079
AR	05009	34.4	37.678189205641	11	143722	0.0124037213815079
AR	05009	35.6	38.725029750548	12	148945	0.0124037213815079
AR	05009	36.5	39.3515252684504	13	152713	0.0124037213815079
AR	05009	36.8	39.7197377161277	14	154334	0.0124037213815079
AR	05009	37.3	39.9338511796146	15	155229	0.0124037213815079
AR	05009	37.5	40.0575849517003	16	156335	0.0124037213815079
