1206	7
AL	01001	0	0.744518765406133	0	75	0.0113944303549632
AL	01001	0.8	1.22721270284934	1	4230	0.0113944303549632
AL	01001	3.4	2.00909715778883	2	18399	0.0113944303549632
AL	01001	8.7	3.25330512475825	3	42200	0.0113944303549632
AL	01001	16.4	5.17826551530074	4	87547	0.0113944303549632
AL	01001	20.3	8.03049800514231	5	108787	0.0113944303549632
AL	01001	23.2	11.9971505445235	6	123050	0.0113944303549632
AL	01001	24.7	17.0535590723888	7	129762	0.0113944303549632
AL	01001	28.5	22.8291999637304	8	139991	0.0113944303549632
AL	01001	33.8	28.6545864069377	9	157298	0.0113944303549632
AL	01001	35.8	33.8375534493082	10	163083	0.0113944303549632
AL	01001	37	37.9589450405861	11	166627	0.0113944303549632
AL	01001	38.5	40.9531214108352	12	170211	0.0113944303549632
AL	01001	42.5	42.9885776238339	13	185065	0.0113944303549632
AL	01001	43.4	44.31056556108	14	186782	0.0113944303549632
AL	01001	43.9	45.1438992289275	15	187910	0.0113944303549632
AL	01001	44.3	45.6593495317279	16	188916	0.0113944303549632
AL	01001	44.5	45.9744504886762	17	189738	0.0113944303549632
AL	01003	0	1.33602184779082	0	75	0.0455283657459386
AL	01003	1.2	2.25891397750303	1	4230	0.0455283657459386
AL	01003	6.6	3.76902483420462	2	18399	0.0455283657459386
AL	01003	13.4	6.15602061399217	3	42200	0.0455283657459386
AL	01003	20.6	9.73033687618162	4	87547	0.0455283657459386
AL	01003	24.5	14.6711686924082	5	108787	0.0455283657459386
AL	01003	28.3	20.7960064021206	6	123050	0.0455283657459386
AL	01003	29.8	27.44054959543	7	129762	0.0455283657459386
AL	01003	35.6	33.6827053541423	8	139991	0.0455283657459386
AL	01003	42.5	38.8023833461844	9	157298	0.0455283657459386
AL	01003	44.6	42.5540005960316	10	163083	0.0455283657459386
AL	01003	46.2	45.0821774739553	11	166627	0.0455283657459386
AL	01003	47.7	46.6911325441298	12	170211	0.0455283657459386
AL	01003	49.5	47.6780944039618	13	185065	0.0455283657459386
AL	01003	50.1	48.2699079216662	14	186782	0.0455283657459386
AL	01003	50.5	48.6199521873094	15	187910	0.0455283657459386
AL	01003	51	48.8253207913618	16	188916	0.0455283657459386
AL	01003	51.3	48.9452354828802	17	189738	0.0455283657459386
AL	01005	0	2.03573461343497	0	75	0.00503468663735919
AL	01005	0.4	3.22059563094398	1	4230	0.00503468663735919
AL	01005	3.9	5.0220362273155	2	18399	0.00503468663735919
AL	01005	10.1	7.66405791332325	3	42200	0.00503468663735919
AL	01005	15.9	11.341187326895	4	87547	0.00503468663735919
AL	01005	18	16.1026649495302	5	108787	0.00503468663735919
AL	01005	22.8	21.7236053809654	6	123050	0.00503468663735919
AL	01005	25.9	27.6780379381105	7	129762	0.00503468663735919
AL	01005	29	33.3040300571071	8	139991	0.00503468663735919
AL	01005	35.4	38.0736300613085	9	157298	0.00503468663735919
AL	01005	38.6	41.759447005856	10	163083	0.00503468663735919
AL	01005	40.8	44.4090111206471	11	166627	0.00503468663735919
AL	01005	42	46.2162183475375	12	170211	0.00503468663735919
AL	01005	43.7	47.4051481521634	13	185065	0.00503468663735919
AL	01005	44.6	48.1688466024267	14	186782	0.00503468663735919
AL	01005	45.1	48.651894292508	15	187910	0.00503468663735919
AL	01005	45.4	48.9544531139003	16	188916	0.00503468663735919
AL	01005	45.7	49.1428023389077	17	189738	0.00503468663735919
AL	01007	0	1.80462222846239	0	75	0.00456723537863654
AL	01007	0.8	2.85756651035814	1	4230	0.00456723537863654
AL	01007	5.8	4.45233157487728	2	18399	0.00456723537863654
AL	01007	9.5	6.77266247726567	3	42200	0.00456723537863654
AL	01007	13.9	9.95874652927105	4	87547	0.00456723537863654
AL	01007	16.5	14.0026156330044	5	108787	0.00456723537863654
AL	01007	20.4	18.6521781431857	6	123050	0.00456723537863654
AL	01007	21.8	23.4277257683146	7	129762	0.00456723537863654
AL	01007	25.1	27.7966702571409	8	139991	0.00456723537863654
AL	01007	29.6	31.3902874573328	9	157298	0.00456723537863654
AL	01007	31	34.0963447497325	10	163083	0.00456723537863654
AL	01007	31.9	36.0016021088196	11	166627	0.00456723537863654
AL	01007	32.8	37.280444523783	12	170211	0.00456723537863654
AL	01007	33.8	38.1115222159364	13	185065	0.00456723537863654
AL	01007	34.3	38.6403221682265	14	186782	0.00456723537863654
AL	01007	34.6	38.9722785602333	15	187910	0.00456723537863654
AL	01007	34.8	39.1789034807505	16	188916	0.00456723537863654
AL	01007	34.9	39.3068372299346	17	189738	0.00456723537863654
AL	01009	0	1.02377718084447	0	75	0.0117935586766561
AL	01009	0.8	1.63976052534685	1	4230	0.0117935586766561
AL	01009	4.2	2.5988186157129	2	18399	0.0117935586766561
AL	01009	7.3	4.05262371356194	3	42200	0.0117935586766561
AL	01009	11.8	6.16942675583358	4	87547	0.0117935586766561
AL	01009	14.8	9.07760351787059	5	108787	0.0117935586766561
AL	01009	16.8	12.7695691732792	6	123050	0.0117935586766561
AL	01009	17.7	17.0137243508869	7	129762	0.0117935586766561
AL	01009	20.4	21.3701209413305	8	139991	0.0117935586766561
AL	01009	26.1	25.3515388278734	9	157298	0.0117935586766561
AL	01009	28.1	28.62223112003	10	163083	0.0117935586766561
AL	01009	28.9	31.0817259160328	11	166627	0.0117935586766561
AL	01009	29.6	32.8110146179249	12	170211	0.0117935586766561
AL	01009	30.8	33.9702359406121	13	185065	0.0117935586766561
AL	01009	31.3	34.7226643110944	14	186782	0.0117935586766561
AL	01009	31.5	35.2008819198429	15	187910	0.0117935586766561
